ACE,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND
102,0.271452008,4229,97.651752,39.363582,36.53618138,3.247419537,1.216007779,7.418093182,0.139443472,40.30407907
124,0.198826025,3403,97.880003,39.309462,19.90534288,2.252869297,1.159267803,7.680071807,0.140986949,42.60499183
122.875,0.243705832,3420,98.176408,39.11318,27.20024114,2.491840008,1.17426577,7.476291698,0.182004347,41.06764096
117.0909091,0.35045681,3351,99.578432,38.433893,63.03528967,3.969347947,1.14163614,7.603257237,0.35339129,42.39645863
131.6,0.354809082,3245,99.72065,38.361722,46.31627086,3.700000048,1.094747001,7.694210142,0.301517397,42.21484929
90.25,0.357192021,3141,99.851733,38.289237,35.34408437,3.329513396,1.108211202,7.716690311,0.28048262,41.4187122
99,0.355389786,3088,99.995093,38.232072,56.41670407,3.81157332,1.116842727,7.511971144,0.287130445,42.31704937
104.75,0.334656265,2837,100.104153,38.222858,37.60803954,3.248428059,1.115623592,7.631215771,0.254243493,37.67143699
108,0.361812754,3044,100.365418,38.082083,50.64554648,3.665003998,1.141508716,7.627152974,0.328973919,43.33194725
82.33333333,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
94.6,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
75.75,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
77.42857143,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
100.1111111,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
98.25,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
141.4285714,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
130.0909091,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
135.625,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
